Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles
Student,18,2,1,White,2,,0,Completely trust,Mostly safe,Very confident,An organized and efficient system for distributing the vaccine,An inefficient/slow/confusing system for distributing the vaccine
Student,19,2,0,Hispanic or Latinx,1,Birth defects,,Mostly trust,Mostly safe,Somewhat confident,Close to where I live ,Distance 
Student,38,2,0,Hispanic or Latinx,,,3,,,,,
Staff,,2,1,Hispanic or Latinx,,,0,,,,,
Student,23,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,I am getting my first vaccine tomorrow,N/A
Student,,2,0,White,,,3,,,,,
Student,,2,1,White,,,0,,,,,
Staff,18,2,1,White,,,0,,,,,
Student,21,2,1,White,1,side effects of the vaccine such as sickness and discomfort,,Somewhat trust,Mostly safe,Somewhat confident,notices about where and when and how to get the vaccine. It has been hard to register to get the vaccine even though my group is currently vaccinating. ,traveling to vaccine locations. lack of time once the summer break begins. 
Student,20,2,0,White,2,,3,Mostly trust,Very safe,Very confident,If it is offered on campus ,If it were not in Boone or available to out of state residents
Student,19,2,0,Biracial / Multiracial / Mixed,1,Some still have doubts about the effectiveness and side effects of the vaccine,,Somewhat trust,Mostly safe,Only slightly confident,"Good information about where and how, have a good organisation system. ",Time 
Student,19,2,0,Biracial / Multiracial / Mixed,,,3,,,,,
Student,18,2,1,White,1,Death from side effects ,,Not sure,Mostly safe,Somewhat confident,How close the facility is to me ,Long wait times 
Student,,2,0,White,,,3,,,,,
Student,19,2,0,White,,,3,,,,,
Student,20,2,1,White,3,,0,Do not trust at all,Mostly safe,Only slightly confident,I don't want it,nothing
Student,22,2,0,White,,,3,,,,,
Student,19,2,1,White,,,0,,,,,
Student,39,2,1,White,1,side effects of the vaccine,,Somewhat trust,Not safe at all,Not at all confident,if there were years of testing completely to prove it's safety,reports of side effects
Staff,20,2,0,White,,,3,,,,,
Student,55,2,1,White,,,0,,,,,
Staff,,1,1,"Asian,White",2,,0,Mostly trust,Very safe,Very confident,an appointment-based system to make it easy to schedule a vaccination appointment,not enough vaccines or an ineffective system for receiving vaccines
Student,,2,0,"Hispanic or Latinx,White",3,,3,Somewhat trust,Mostly safe,Very confident,transportation,nothing
Student,18,2,0,"Hispanic or Latinx,White",,,3,,,,,
Student,21,1,1,White,2,,0,Mostly trust,Very safe,Very confident,Availability,Availability
Student,21,1,0,White,,,3,,,,,
Student,,1,1,White,2,,0,Completely trust,Very safe,Somewhat confident,Free charge,Price
Student,20,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Clarity on where and how to get it,Strict hours. I have sleeping disorders and waking up early in the morning is often a struggle
Student,19,1,0,White,2,,3,Somewhat trust,Mostly safe,Somewhat confident,,Long wait times. Scheduling
Student,41,2,0,White,2,,3,Do not trust at all,Not safe at all,Not at all confident,nothing,I wont take the vaccine
Staff,71,2,0,White,,,3,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,18,2,1,White,,,0,,,,,
Student,20,2,1,White,,,0,,,,,
Student,,2,0,White,1,Becoming like Joe Biden ,,Do not trust at all,Not safe at all,Not at all confident,,
Student,,2,0,White,1,,3,,,,,
Student,21,2,0,White,1,,3,,,,,
Student,,2,0,White,1,death and terrible side effects ,,Do not trust at all,Not safe at all,Not at all confident,noting ,money wise for people who want it 
Student,,2,0,White,1,,3,,,,,
Student,,2,0,White,2,,3,Completely trust,Mostly safe,Very confident,,
Student,,2,0,White,3,,3,Somewhat trust,Mostly safe,,,
Student,,2,0,White,,,3,,,,,
Staff,21,2,1,White,,,0,,,,,
Student,18,2,0,White,2,,3,Mostly trust,Very safe,,,
Student,18,2,0,White,1,fertility issues,,Not sure,Not safe at all,Very confident,,
Student,22,2,0,White,1,Thereâ€™s no long term study. Every I know that has gotten the vaccine has been sick ever since. ,,Do not trust at all,Not safe at all,Not at all confident,,
Student,19,2,0,White,1,Very ill after the second dose of the vaccine,,,,,,
Student,19,2,0,White,1,"I personally do not have hesitation, but I know a few people who don't trust the rushed process of creating the vaccine.",,Mostly trust,Very safe,Somewhat confident,,
Student,19,2,0,White,1,Iâ€™ve heard of many people having severe reactions and some dying ,,Not sure,Not sure,Not sure,,
Student,32,2,0,White,2,,3,Completely trust,Very safe,,,
Student,,2,0,White,1,,3,Somewhat trust,Not safe at all,Not at all confident,,
Student,20,1,0,"Asian,White",1,"Allergic reaction, symptoms, effectiveness",,Mostly trust,Mostly safe,Only slightly confident,"benefits, assurances, big names at school receiving it","personal time, and possible affects"
Student,24,1,0,"Asian,White",1,Side Effects,,Somewhat trust,Mostly safe,Somewhat confident,,
Student,18,1,0,"Asian,White",1,The repitition of having to get it ,,Somewhat trust,Mostly safe,Somewhat confident,,
Student,19,1,0,"Asian,White",,,3,,,,,
Student,,1,0,"Asian,White",2,,3,Completely trust,Very safe,,,
Student,,1,0,"Asian,White",,,3,,,,,
Student,22,1,0,"Asian,White",3,,3,Somewhat trust,Mostly safe,,,
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,Make everyone get it have clinics outside our forms,If they all run out 
Student,55,2,0,White,,,3,,,,,
Staff,26,2,1,Biracial / Multiracial / Mixed,1,Fertility issues,,Mostly trust,Mostly safe,Somewhat confident,Having one dose vs 2,More than one dose
Student,21,1,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Email updates,Schedule 
Student,29,1,0,White,2,,3,Mostly trust,Very safe,Very confident,Appointments ,First come first serve lines 
Student,51,1,0,White,,,3,,,,,
Student,21,1,1,Black or African American,2,,0,Mostly trust,Mostly safe,Somewhat confident,Incentives,Fees for Vaccination(s)
Student,19,2,0,Hispanic or Latinx,1,I have seen people get really sick are the day they got it.,,Somewhat trust,Not sure,Somewhat confident,To be one of the last to be vaccinated to see the outcomes of everyone else,For me to be the first to get vaccinated 
Student,69,2,0,Hispanic or Latinx,,,3,,,,,
Staff,19,2,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,,Deciding if I should get it here or wait till I go home since I would probably be home for the summer before it came time for my second dose.
Student,47,2,0,White,,,3,,,,,
Student,19,2,1,White,,,0,,,,,
Student,30,2,1,White,,,0,,,,,
Student,21,2,1,White,,,0,,,,,
Student,27,6,1,Other,1,"Moderna gives a disclaimer that the shot is not effective, people that I know are getting sick after taking vaccines, etc ",,Do not trust at all,Not sure,Only slightly confident,"I donâ€™t want to be forced into taking it, Iâ€™ll take it when Iâ€™m ready.","It wouldnâ€™t be difficult, I just wouldnâ€™t want to be forced by the university- itâ€™s a personal choice."
Student,20,1,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Letting me know?,Making the sign up difficult
Student,39,1,0,White,,,3,,,,,
Staff,20,1,1,White,,,0,,,,,
Student,19,2,1,White,2,,0,Completely trust,Very safe,Somewhat confident,The vaccine clinics that app state is providing is very helpful,"Long waits, time slots that interfere with classes"
Student,22,2,0,White,,,3,,,,,
Student,,2,1,White,1,"I have seen how it affects different people, 1st vaccine in history to be pushed into the market this quick, we have as much info as possible but we donâ€™t know future effects of vaccine.  ",,Do not trust at all,Not safe at all,Only slightly confident,Nasal spray... ,"It goes against my core belief to enforce, it is terrifying and the thought that any organization could make someone put their bodies into an unknown risk (future,reactions) especially if they have already built that immunity through contracting the virus makes me worried. So everything about that would be difficult. "
Student,,2,0,White,2,,3,Somewhat trust,Not sure,Only slightly confident,,
Student,32,2,0,White,,,3,,,,,
Student,,2,1,White,,,0,,,,,
Student,19,2,0,Hispanic or Latinx,3,,3,Completely trust,Mostly safe,Very confident,I didnâ€™t have to work. ,I couldnâ€™t get off work. 
Student,19,1,0,White,2,,3,Somewhat trust,Mostly safe,Somewhat confident,Iâ€™m not sure.,Iâ€™m not sure.
Student,36,1,0,White,,,3,,,,,
Student,19,6,1,White,3,,0,Mostly trust,Very safe,Very confident,Easy to access vaccination areas,A long distance
Student,20,6,0,White,,,3,,,,,
Student,,1,1,White,1,Recovery is very likely without.,,Somewhat trust,Not sure,Only slightly confident,,
Staff,,1,0,White,,,3,,,,,
Staff,,1,1,White,,,0,,,,,
Staff,19,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,if it was given on campus so i could get to it easily ,giving it far from where I live so like blowing rock 
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,available appointments,finding an appointment that fits my schedule
Student,20,2,0,White,,,3,,,,,
Student,18,2,1,White,3,,0,Not sure,Mostly safe,Somewhat confident,No complications,Health risks
Student,18,1,0,Biracial / Multiracial / Mixed,1,n/a,,Mostly trust,Mostly safe,Somewhat confident,it's already too easy,If I have to wait in a line for my Appointment.
Student,40,1,0,Hispanic or Latinx,1,The vacune not being effective as they say. Then people start to be more careless because of the believe it works. ,,Somewhat trust,Mostly safe,Somewhat confident,Home vaccination,Hospital visit
Student,,2,0,Black or African American,2,,3,Mostly trust,Very safe,Somewhat confident,time to get it,depending on the day and time available
Student,18,2,0,White,1,"possible future issues with fertility, strong negative effects of the vaccine (on some)",,Not sure,Not sure,Not sure,knowledge of its effects,not knowing its effects
Student,20,2,0,White,,,3,,,,,
Student,,1,1,Asian,2,,0,Somewhat trust,Mostly safe,Somewhat confident,Convenient time ,None
Student,19,1,0,White,1,"The speed in which it was produced, side effects, deaths in New Zealand due to Vaccine, ",,Somewhat trust,Mostly safe,Somewhat confident,,
Student,19,2,0,White,1,"well...  I have needlephobia and hearing the johnson shot is painful doesn't help, but I have an appointment because getting the vaccine is the right thing to do. ",,Mostly trust,Mostly safe,Only slightly confident,"the school supplying it, which you already are",the needlephobia and not being able to have someone there with me
Student,19,2,0,White,1,Teacher ding from app state due to j and j vac ,,Do not trust at all,Not safe at all,Not at all confident,Nothing,The teacher dying from app state and the aborted fetal cells in the vaccine 
Student,30,2,0,White,,,3,,,,,
Student,19,1,1,White,1,"Stupid conspiracies, along with real accounts of people having less than ideal side-effects  ",,Mostly trust,Mostly safe,Somewhat confident,Walk-in appointments,Transportation 
Student,20,1,0,White,,,3,,,,,
Student,18,1,1,White,1,The second dose makes you feel unwell,,Completely trust,Mostly safe,Somewhat confident,For faculty to reach out and give info on how to recieve the vaccine,A confusing appointment making process
Student,18,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,flexible time frames and an easily accessed location,time schedules that make it difficult to fit in between my classes 
Student,21,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,proximity,
Student,23,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,"Close location, choice in time/date of appointment","Inconvenient location, not being able to choose time/date"
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,Provided transportation to vaccination sites,Few vaccination sites that are far away
Student,30,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Unsure,Long Lines/Waiting Periods
Student,23,1,0,White,,,3,,,,,
Student,30,1,1,White,,,0,,,,,
Staff,19,2,1,White,1,It hasn't been approved yet and it hasn't been out long enough to really know all side effects.,,Do not trust at all,Not sure,Not at all confident,id have to be forced to get it. ,i do not want it.
Student,,2,0,White,,,3,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,20,2,1,White,,,0,,,,,
Student,19,2,1,White,1,"I am not afraid of getting COVID again, I am more afraid of what a vaccine could do",,Not sure,Not sure,,,
Student,20,2,0,White,,,3,,,,,
Student,22,2,1,White,1,"Individuals have expressed that they have felt really sick for an extended amount of time after the shot, weird alterations to their bodies",,Do not trust at all,Mostly safe,Only slightly confident,More information of effectiveness,
Student,40,2,0,White,,,3,,,,,
Staff,21,2,1,White,,,0,,,,,
Student,,2,1,White,,,0,,,,,
Staff,,2,1,White,,,0,,,,,
Student,19,2,1,White,,,0,,,,,
Student,20,2,1,White,1,"My best friends grandpa received the vaccine and then his lungs started failing and almost died. The doctors had no idea why his lungs were failing, but then they found that it was due to the vaccine. He is in his mid-80s with other health conditions, though. But had he not received the vaccine, this would not have happened. ",,Somewhat trust,Mostly safe,Somewhat confident,more knowledge on the steps to take in order to acquire the vaccine ,the thought of it having negative effects on my health 
Student,22,2,0,White,2,,3,Completely trust,Very safe,,,
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,more advertising,less advertising
Student,,2,0,White,1,,3,,,,,
Student,18,2,0,White,3,,3,,,,,
Student,19,2,0,White,3,,3,Mostly trust,Very safe,Very confident,,
Student,20,2,0,White,,,3,,,,,
Student,19,2,0,White,1,The side effects can be intense. ,,Mostly trust,Mostly safe,Somewhat confident,,
Student,23,2,0,White,1,Bad allergic reaction ,,Mostly trust,Mostly safe,,,
Student,18,2,0,White,3,,3,Mostly trust,Mostly safe,,,
Student,20,2,0,White,,,3,,,,,
Student,,2,0,White,,,3,,,,,
Student,25,2,0,White,,,3,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,21,1,1,White,2,,0,Mostly trust,Mostly safe,Only slightly confident,An open schedule and ease of transportation. ,A lack of transportation/conflicting schedule would be my primary worries. 
Student,,1,0,White,,,3,,,,,
Staff,21,1,1,White,,,0,,,,,
Student,19,1,1,White,,,0,,,,,
Student,33,1,1,White,,,0,,,,,
Student,58,1,1,White,,,0,,,,,
Staff,20,1,1,White,1,,0,,,,,
Student,61,1,0,White,,,3,,,,,
Staff,18,1,1,Asian,2,,0,Mostly trust,Mostly safe,Somewhat confident,An email saying specifically that I am available to receive a vaccine.,An email saying that my group is able to get a vaccine when itâ€™s only a part of that group and I am not yet eligible.
